,time,temperature,humidity,wind_speed,precipation,condition,date
0,23,66.0,87,7.0,0.1,Rain,2019-08-31
1,0,65.0,90,12.0,0.1,Rain,2019-09-01
2,1,63.0,97,14.0,0.2,Rain,2019-09-01
3,2,63.0,93,8.0,0.0,Rain_with_Thunder,2019-09-01
4,3,62.0,93,8.0,0.1,T-Storm,2019-09-01
5,4,62.0,93,8.0,0.1,Cloudy,2019-09-01
6,5,62.0,90,9.0,0.0,Mostly_Cloudy,2019-09-01
7,6,63.0,90,5.0,0.0,Mostly_Cloudy,2019-09-01
8,7,65.0,81,0.0,0.0,Cloudy,2019-09-01
9,8,66.0,75,8.0,0.0,Cloudy,2019-09-01
10,9,70.0,71,6.0,0.0,Mostly_Cloudy,2019-09-01
11,10,71.0,70,3.0,0.0,Cloudy,2019-09-01
12,11,72.0,68,0.0,0.0,Cloudy,2019-09-01
13,12,72.0,68,3.0,0.0,Cloudy,2019-09-01
14,13,71.0,73,5.0,0.0,Cloudy,2019-09-01
15,14,71.0,73,0.0,0.0,Cloudy,2019-09-01
16,15,71.0,75,0.0,0.0,Cloudy,2019-09-01
17,16,71.0,75,0.0,0.0,Cloudy,2019-09-01
18,17,70.0,76,6.0,0.0,Mostly_Cloudy,2019-09-01
19,18,69.0,75,3.0,0.0,Cloudy,2019-09-01
20,19,69.0,75,3.0,0.0,Mostly_Cloudy,2019-09-01
21,20,68.0,78,0.0,0.0,Mostly_Cloudy,2019-09-01
22,21,69.0,75,3.0,0.0,Mostly_Cloudy,2019-09-01
23,22,67.0,81,0.0,0.0,Fair,2019-09-01
24,23,66.0,87,0.0,0.0,Fair,2019-09-01
25,0,63.0,90,5.0,0.0,Fair,2019-09-02
26,1,63.0,93,3.0,0.0,Fair,2019-09-02
27,2,63.0,93,3.0,0.0,Fair,2019-09-02
28,3,62.0,96,3.0,0.0,Fair,2019-09-02
29,4,63.0,93,3.0,0.0,Fair,2019-09-02
30,5,63.0,97,5.0,0.0,Fair,2019-09-02
31,6,67.0,87,5.0,0.0,Fair,2019-09-02
32,7,71.0,78,6.0,0.0,Fair,2019-09-02
33,8,75.0,69,7.0,0.0,Fair,2019-09-02
34,9,78.0,62,7.0,0.0,Fair,2019-09-02
35,10,79.0,60,7.0,0.0,Partly_Cloudy,2019-09-02
36,11,78.0,60,7.0,0.0,Mostly_Cloudy,2019-09-02
37,12,82.0,52,0.0,0.0,Mostly_Cloudy,2019-09-02
38,13,82.0,54,5.0,0.0,Partly_Cloudy,2019-09-02
39,14,82.0,54,7.0,0.0,Mostly_Cloudy,2019-09-02
40,15,83.0,51,7.0,0.0,Partly_Cloudy,2019-09-02
41,16,81.0,54,9.0,0.0,Fair,2019-09-02
42,17,80.0,56,9.0,0.0,Fair,2019-09-02
43,18,78.0,60,6.0,0.0,Fair,2019-09-02
44,19,76.0,64,5.0,0.0,Fair,2019-09-02
45,20,74.0,68,5.0,0.0,Fair,2019-09-02
46,21,73.0,73,6.0,0.0,Fair,2019-09-02
47,22,73.0,73,8.0,0.0,Fair,2019-09-02
48,23,71.0,78,6.0,0.0,Fair,2019-09-02
49,0,70.0,78,6.0,0.0,Fair,2019-09-03
50,1,70.0,78,9.0,0.0,Fair,2019-09-03
51,2,69.0,81,8.0,0.0,Fair,2019-09-03
52,3,69.0,81,6.0,0.0,Mostly_Cloudy,2019-09-03
53,4,69.0,81,5.0,0.0,Cloudy,2019-09-03
54,5,69.0,81,7.0,0.0,Rain,2019-09-03
55,6,69.0,81,7.0,0.0,T-Storm,2019-09-03
56,7,69.0,87,25.0,0.1,Rain_with_Thunder,2019-09-03
57,8,70.0,81,13.0,0.0,Cloudy,2019-09-03
58,9,70.0,81,21.0,0.0,Cloudy,2019-09-03
59,10,73.0,73,16.0,0.0,Cloudy,2019-09-03
60,11,74.0,73,16.0,0.0,Cloudy,2019-09-03
