date,time,temperature,humidity,wind_speed,precipation,uv
0,2019-09-01,0,66.12,82.92,0.24,0.02,0.0
1,2019-09-01,1,64.74,86.33,0.5,0.04,0.0
2,2019-09-01,2,64.1,87.25,0.48,0.05,0.0
3,2019-09-01,3,62.99,87.92,0.71,0.02,0.0
4,2019-09-01,4,62.28,90.75,0.43,0.16,0.0
5,2019-09-01,5,62.25,90.25,0.88,0.02,0.0
6,2019-09-01,6,62.67,86.0,1.32,0.0,0.0
7,2019-09-01,7,63.37,83.58,0.77,0.0,0.0
8,2019-09-01,8,64.11,84.25,0.3,0.0,1.08
9,2019-09-01,9,66.61,77.75,0.19,0.0,2.92
10,2019-09-01,10,68.05,72.17,0.52,0.0,4.92
11,2019-09-01,11,70.8,67.83,0.86,0.0,7.0
12,2019-09-01,12,69.52,71.67,0.62,0.0,3.08
13,2019-09-01,13,69.28,72.58,0.24,0.0,3.0
14,2019-09-01,14,70.58,70.75,0.24,0.0,4.42
15,2019-09-01,15,70.92,70.08,0.11,0.0,2.0
16,2019-09-01,16,69.02,73.75,0.15,0.0,1.83
17,2019-09-01,17,68.92,73.75,0.05,0.0,1.33
18,2019-09-01,18,68.5,74.92,0.02,0.0,0.25
19,2019-09-01,19,67.67,77.42,0.03,0.0,0.0
20,2019-09-01,20,67.39,78.42,0.0,0.0,0.0
21,2019-09-01,21,66.56,80.0,0.0,0.0,0.0
22,2019-09-01,22,65.38,83.67,0.0,0.0,0.0
23,2019-09-01,23,63.84,87.42,0.0,0.0,0.0
24,2019-09-02,0,63.29,88.83,0.0,0.0,0.0
25,2019-09-02,1,62.76,90.42,0.0,0.0,0.0
26,2019-09-02,2,62.71,91.33,0.0,0.0,0.0
27,2019-09-02,3,62.67,91.5,0.0,0.0,0.0
28,2019-09-02,4,62.72,91.75,0.0,0.0,0.0
29,2019-09-02,5,62.39,93.0,0.0,0.0,0.0
30,2019-09-02,6,62.51,93.58,0.01,0.0,0.0
31,2019-09-02,7,65.82,86.0,0.02,0.0,0.67
32,2019-09-02,8,74.4,68.83,0.04,0.0,2.5
33,2019-09-02,9,78.58,59.83,0.06,0.0,3.92
34,2019-09-02,10,80.26,55.92,0.18,0.0,6.33
35,2019-09-02,11,81.76,52.33,0.3,0.0,6.5
36,2019-09-02,12,80.01,57.5,0.25,0.0,6.58
37,2019-09-02,13,78.62,59.83,0.64,0.0,7.75
38,2019-09-02,14,80.74,56.08,0.74,0.0,7.25
39,2019-09-02,15,78.63,57.67,0.84,0.0,4.92
40,2019-09-02,16,81.79,52.67,0.31,0.0,3.42
41,2019-09-02,17,81.58,53.92,0.13,0.0,1.75
42,2019-09-02,18,79.84,55.75,0.17,0.0,0.42
43,2019-09-02,19,78.89,56.83,0.07,0.0,0.0
44,2019-09-02,20,76.96,61.83,0.03,0.0,0.0
45,2019-09-02,21,75.31,66.17,0.0,0.0,0.0
46,2019-09-02,22,74.11,69.17,0.0,0.0,0.0
47,2019-09-02,23,73.32,70.17,0.0,0.0,0.0
48,2019-09-03,0,72.62,72.33,0.01,0.0,0.0
49,2019-09-03,1,71.66,74.17,0.03,0.0,0.0
50,2019-09-03,2,70.9,75.0,0.17,0.0,0.0
51,2019-09-03,3,70.4,76.25,0.13,0.0,0.0
52,2019-09-03,4,69.68,77.58,0.13,0.0,0.0
53,2019-09-03,5,69.84,77.17,0.01,0.0,0.0
54,2019-09-03,6,69.6,79.0,0.22,0.0,0.0
55,2019-09-03,7,67.75,88.83,0.04,0.13,0.0
56,2019-09-03,8,68.02,86.67,1.76,0.01,0.0
57,2019-09-03,9,68.92,83.0,1.29,0.0,0.0
58,2019-09-03,10,70.49,77.92,1.47,0.0,1.58
59,2019-09-03,11,71.79,75.67,1.59,0.0,2.92
60,2019-09-03,12,75.71,66.67,1.63,0.0,4.33
61,2019-09-03,13,76.25,67.5,1.84,0.0,3.5
62,2019-09-03,14,76.62,71.67,1.62,0.0,2.58
63,2019-09-03,15,76.81,76.5,1.58,0.0,2.92
64,2019-09-03,16,79.98,73.58,1.28,0.0,2.83
65,2019-09-03,17,82.12,72.08,1.42,0.0,1.67
66,2019-09-03,18,80.96,75.25,1.08,0.0,0.25
67,2019-09-03,19,80.18,77.0,0.6,0.0,0.0
68,2019-09-03,20,79.38,76.25,0.38,0.0,0.0
69,2019-09-03,21,78.09,65.92,0.68,0.0,0.0
70,2019-09-03,22,75.73,60.0,0.58,0.0,0.0
71,2019-09-03,23,73.23,57.42,0.27,0.0,0.0
72,2019-09-04,0,71.23,59.0,0.18,0.0,0.0
73,2019-09-04,1,69.44,61.17,0.18,0.0,0.0
74,2019-09-04,2,67.46,65.25,0.18,0.0,0.0
75,2019-09-04,3,65.88,67.25,0.26,0.0,0.0
76,2019-09-04,4,64.17,70.58,0.34,0.0,0.0
77,2019-09-04,5,62.8,72.08,0.26,0.0,0.0
78,2019-09-04,6,61.86,73.67,0.36,0.0,0.0
79,2019-09-04,7,63.29,70.58,0.72,0.0,0.92
80,2019-09-04,8,67.61,63.58,1.08,0.0,2.83
81,2019-09-04,9,68.98,61.58,1.12,0.0,4.25
82,2019-09-04,10,69.33,62.33,1.13,0.0,6.42
83,2019-09-04,11,68.9,63.58,1.61,0.0,5.75
84,2019-09-04,12,69.88,60.17,1.28,0.0,8.25
85,2019-09-04,13,70.76,58.75,1.19,0.0,8.67
86,2019-09-04,14,70.01,58.58,1.13,0.0,6.67
87,2019-09-04,15,69.29,59.0,1.23,0.0,5.5
88,2019-09-04,16,68.99,58.83,1.08,0.0,3.67
89,2019-09-04,17,67.0,62.42,0.82,0.0,2.17
90,2019-09-04,18,64.98,65.75,0.54,0.0,0.5
91,2019-09-04,19,63.69,68.75,0.34,0.0,0.0
92,2019-09-04,20,62.99,70.0,0.27,0.0,0.0
93,2019-09-04,21,63.05,68.92,0.23,0.0,0.0
94,2019-09-04,22,63.44,67.0,0.13,0.0,0.0
95,2019-09-04,23,63.54,65.08,0.3,0.0,0.0
96,2019-09-05,0,63.48,63.75,0.12,0.0,0.0
97,2019-09-05,1,63.15,62.25,0.08,0.0,0.0
98,2019-09-05,2,62.69,63.33,0.03,0.0,0.0
99,2019-09-05,3,62.61,63.92,0.07,0.0,0.0
100,2019-09-05,4,61.53,65.83,0.0,0.0,0.0
101,2019-09-05,5,59.64,71.67,0.0,0.0,0.0
102,2019-09-05,6,59.84,72.67,0.04,0.0,0.0
103,2019-09-05,7,62.17,67.25,0.02,0.0,0.67
104,2019-09-05,8,64.48,60.75,0.04,0.0,2.0
105,2019-09-05,9,66.12,56.75,0.04,0.0,3.0
106,2019-09-05,10,68.47,52.92,0.27,0.0,4.42
107,2019-09-05,11,68.91,57.33,0.78,0.0,7.67
108,2019-09-05,12,70.08,58.08,0.92,0.0,8.83
109,2019-09-05,13,70.14,57.33,1.01,0.0,9.42
110,2019-09-05,14,71.38,54.75,0.77,0.0,7.67
111,2019-09-05,15,71.95,54.08,0.72,0.0,5.58
112,2019-09-05,16,70.51,56.58,1.3,0.0,3.5
113,2019-09-05,17,67.95,62.83,1.3,0.0,1.92
114,2019-09-05,18,65.79,68.0,0.86,0.0,0.42
115,2019-09-05,19,64.83,70.33,0.67,0.0,0.0
116,2019-09-05,20,64.58,73.08,0.53,0.0,0.0
117,2019-09-05,21,65.2,69.25,0.17,0.0,0.0
118,2019-09-05,22,65.56,67.75,0.03,0.0,0.0
119,2019-09-05,23,66.27,66.92,0.08,0.0,0.0
120,2019-09-06,0,66.31,67.0,0.03,0.0,0.0
